sample_no,lab_acession_no,band_no,collection_date,period,age,sex,grid,cap_loc,net_setup,net_no,t_cap,t_release,cap_meth,wing_mm,tail_mm,mass_g,fat,pect,cp,bp,body_molt,wing_molt,photos,nest_day,nest_no,nest_status,field_remarks,dna_ext_date,f_mass_g,f_extractor,ext_remarks,,
36-12,3171-08802,5/22/2023,1,sy,m,bg,net23-9-4,9,4,9:33:00 AM,10:13:00 AM,passive,70,55,16.19,0,0,yes,no,no,na,yes,na,na,na,na,na,1/12/2024,0.0591,HD,twist top tube,,
37-01,06-0062,2811-93099,5/23/2023,1,sy,m,bg,net23-9-5,9,5,8:25:00 AM,8:41:00 AM,passive,70,55,15.09,0,1,yes,no,no,na,yes,na,na,na,Blue flecks on head,1/12/2024,0.0229,HD,flip top tube,,
38-01,06-0063,2811-92883,5/24/2023,2,asy,m,bor,feederbor-2,na,na,6:53:00 AM,7:08:00 AM,feeder,72,56,17.78,0,1,yes,no,yes,na,yes,na,na,na,Recap from 2021. Inner pp cov has green edging & outer pp cov does NOT have green edging for both wings. Head molt.,1/12/2024,0.0451,HD,twist top tube,,
39-01,06-0064,3171-08804,5/29/2023,2,sy,m,bg,targetbg,na,na,6:18:00 AM,6:58:00 AM,target,73,56,15.36,0,1,yes,no,na,na,yes,na,na,na,Blue on forehead above upper mandible. Gape. Got caught in T1 after.,1/12/2024,0.0343,HD,twist top tube,,
40-01,06-0065,2811-92941,6/2/2023,2,asy,m,bor,feederbor-1,na,na,7:25:00 AM,na,feeder,71,58,16.07,0,1,yes,no,na,na,yes,na,na,na,"""Gigunto""",1/12/2024,0.0877,HD,twist top tube,,
41-01,06-0066,2811-92934,6/6/2023,2,asy,m,bg,feederbg-2,na,na,7:10:00 AM,7:32:00 AM,feeder,78,73,16.74,0,0,na,na,na,na,yes,na,na,na,na,1/12/2024,0.0988,HD,twist top tube,,
41-02,06-0067,2811-92926,6/6/2023,2,asy,m,bg,feederbg-2,na,na,7:40:00 AM,7:55:00 AM,feeder,74,55,16.64,0,2,na,na,yes,na,yes,na,na,na,Lack of feathers on head,1/12/2024,0.0378,HD,twist top tube,,
42-01,06-0068,2811-92926,6/12/2023,2,asy,m,bg,feederbg-1,na,na,6:30:00 AM,6:44:00 AM,feeder,72,67,15.97,0,1,yes,no,na,na,yes,na,na,na,na,1/12/2024,0.0132,HD,twist top tube,,
42-02,06-0069,2811-93033,6/12/2023,2,asy,f,bg,feederbg-1,na,na,7:30:00 AM,7:44:00 AM,feeder,72,60,16.99,0,2,na,na,yes,na,yes,na,na,na,"green edging on outer pp covs, band overlapped on previous banding-unoverlapped; molt on tail - left rects 6,5,4,3",1/12/2024,0.036,HD,twist top tube,,
42-03,06-0070,2541-50651,6/12/2023,2,asy,f,bg,feederbg-1,na,na,7:30:00 AM,7:56:00 AM,feeder,65,52,15.61,0,0,na,na,na,na,yes,na,na,na,na,1/12/2024,0.1184,HD,twist top tube,,
42-04,06-0071,3171-08806,6/12/2023,2,sy,m,bg,feederbg-1,na,na,8:00:00 AM,8:26:00 AM,feeder,70,55,16.69,0,0,na,na,na,na,yes,na,na,na,na,1/12/2024,0.1058,HD,twist top tube,,
43-01,06-0072,na,7/1/2023,2,na,na,bg,nest,na,na,7:42:00 AM,8:04:00 AM,nest,na,na,na,na,na,na,na,na,na,na,6,48,unknown,4 nestlings,1/12/2024,0.1599,HD,twist top tube,,
44-01,06-0073,na,7/6/2023,2,na,na,bg,nest,na,na,6:45:00 AM,7:05:00 AM,nest,na,na,na,na,na,na,na,na,na,na,5,73,fledged,fresh fecal sample. 4 nestlings,1/12/2024,0.0616,HD,twist top tube,,
45-01,06-0075,2811-92970,7/6/2023,2,asy,m,bg,targetbg,na,na,6:09:00 AM,6:35:00 AM,target,70,59,17.5,0,1,yes,na,na,na,yes,na,na,na,na,1/12/2024,0.0136,HD,twist top tube,,
46-01,06-0076,2811-93027,7/10/2023,2,sy,m,bg,targetbg,na,na,7:00:00 AM,7:20:00 AM,target,69,54,14.92,0,0,yes,na,na,yes,yes,na,na,na,was recorded as an ASY previously. new secondary molted in on Rt wing,1/12/2024,0.0154,HD,twist top tube,,
46-02,06-0077,2811-93084,7/10/2023,2,sy,m,bg,targetbg,na,na,8:05:00 AM,8:19:00 AM,target,70,55,14.64,0,0,na,na,na,na,yes,na,na,na,na,1/12/2024,0.0658,HD,twist top tube,,
47-02,06-0079,3171-08827,7/11/2023,2,asy,m,bg,targetbg,na,na,7:06:00 AM,7:37:00 AM,target,70.5,55.5,18.34,0,1,yes,no,na,yes,yes,na,na,na,Little molt on wing coverts,1/12/2024,0.081,HD,twist top tube,,
47-03,06-0080,2511-33427,7/11/2023,2,asy,m,bg,targetbg,na,na,7:20:00 AM,7:37:00 AM,target,73,59,17.5,0,0,na,na,na,na,yes,na,na,na,na,1/12/2024,0.0412,HD,twist top tube,,
48-02,06-0082,na,7/14/2023,2,na,na,bor,nest,na,na,8:10:00 AM,8:28:00 AM,nest,na,na,na,na,na,na,na,na,na,na,6,84,unknown,Fresh,1/12/2024,0.1172,HD,twist top tube,,
49-01,06-0084,2811-93091,7/17/2023,3,sy,m,bor,net23-10-4,10,4,7:07:00 AM,7:23:00 AM,passive,68,52,14.56,0,0,yes,no,na,na,yes,na,na,na,"red belly wash, flecks of blue on head",1/12/2024,0.0363,HD,twist top tube,,
50-01,06-0088,na,7/18/2023,3,na,na,bg,nest,na,na,7:05:00 AM,7:20:00 AM,nest,na,na,na,na,na,na,na,na,na,na,6,64,unknown,fresh fecal sample. 1 nestling,1/12/2024,0.191,HD,twist top tube,,
